reg_id,cell_viability,processing_date,comment,RNA isolation kit,Kit lot number,Elution vol (ul),Macrophage RNA Tube ID,Macrophage RNA Tube Location Box ID,Date of RNA QC,RNA volume for QC,RIN,RNA concentration (pg/ul),TS comment,TechCore comment,Sequence?,TapeStation assay type,ul for 250 pg,Complete?,Library prep date,Sample,RNA Tube ID,Library prep plate,RNAseq batch
subject_3975,99.0,2018-02-11,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",Norgen Single Cell RNA kit,161004778.0,16.0,303871963.0,TS01069817,2018-02-12,1.0,,895.0,RNA concentration outside recommended range for RINe; RINe edited,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",Yes,Pico RNA,6.24,Complete,2018-03-18,3975-SMP-03,303871963.0,G1,SCRIPT_RNAseq_Batch_03
subject_8264,42.9,,,,,,,,,,,,,,No,,,,,,,,
subject_5895,52.3,,,,,,,,,,,,,,,,,,,5895-SMP-05,,,
subject_2952,46.0,,,,,,,,,,,,,,,,,,,2952-SMP-07,,,
subject_2148,66.4,2016-04-01,Sample extremely viscous; was diluted with MACs buffer prior to filtering (no supernatant sample collected),,,,,,,,7.6,1139.1,,,No,,,,,,,,
subject_8317,50.0,,,,,,,,,,,,,,,,,,,,,,
subject_7023,57.1,,,,,,,,,,,,,,,,,,,,,,
subject_6455,57.0,,,,,,,,,,,,,,,,,,,,,,
subject_3140,59.5,,,,,,,,,,,,,,,,,,,,,,
subject_3149,76.8,,,,,,,,,,,,,,No,,,,,,,,
subject_2462,58.3,,,,,,,,,,,,,,,,,,,,,,
subject_2213,72.7,,,,,,,,,,,,,,No,,,,,,,,
subject_8258,72.3,,,,,,,,,,,,,,,,,,,,,,
subject_7341,,,,,,,,,,,,,,,,,,,,7341-SMP-00,,,
subject_6446,,,,,,,,,,,,,,,,,,,,,,,
subject_5881,78.1,,All 7 mL of sample were processed - cell count was too low to sort,,,,,,,,,,,,,,,,,,,,
subject_5011,38.4,2020-07-15,Sample extremely-mucous like; small yield in cells and insufficient amount to sort,QIAGEN RNeasy Micro,170220164.0,14.0,300077928.0,TS01063219,2020-07-15,1.0,8.1,388.3,RNA concentration outside recommended range for RINe,Use for sequencing.,No,Standard RNA,1.69,Complete,2020-08-14,5011-SMP-05,300077928.0,F1,SCRIPT_RNAseq_Batch_03
subject_2420,74.3,,,,,,,,,,,,,,,,,,,,,,
subject_4437,47.2,2019-08-17,,,,,,,,,,,,,,,,,,,,,
subject_8395,45.6,2016-10-03,,,,,,,,,,,,,,,,,,,,,
subject_6337,60.3,,,,,,,,,,,,,,,,,,,6337-SMP-05,,,
subject_2860,60.3,,RNA concentration outside recommended range for RINe,,,,,,,,,,,,,,,,,,,,
subject_2846,60.3,,,,,,,,,,,,,,,,,,,2846-SMP-07,,,
subject_2374,56.0,2017-06-11,,,,,,,,,,,,,,,,,,,,,
subject_5666,75.1,,,,,,,,,,,,,,,,,,,,,,
subject_7626,72.0,2020-04-14,RNA concentration outside recommended range for RINe,Norgen Single Cell RNA kit,161004778.0,18.0,302744835.0,TS01063219,2020-04-16,1.0,8.7,483.0,RNA concentration outside recommended range for RINe; RINe edited,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",Yes,Standard RNA,3.28,Partial,2020-04-28,7626-SMP-09,302744835.0,H1,SCRIPT_RNAseq_Batch_04
subject_7885,67.1,,,,,,,,,,,,,,,,,,,,,,
subject_5993,64.5,,,,,,,,,,,,,,,,,,,,,,
subject_3063,44.6,,,,,,,,,,,,,,,,,,,3063-SMP-01,,,
subject_3604,50.4,2016-01-03,All 7 mL of sample were processed - cell count was too low to sort,QIAGEN RNeasy Plus Micro,160047191.0,16.0,304399682.0,TS01063219,2016-01-06,2.0,,45990.3,RNA concentration outside recommended range for RINe; RINe edited,Use for sequencing.,Yes,HSRNA,2.21,Complete,2016-01-24,3604-SMP-05,304399682.0,E1,SCRIPT_RNAseq_Batch_02
subject_5423,58.4,2024-10-03,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",Norgen Single Cell RNA kit,160052304.0,14.0,,,,,,,,,,,,,,,,,
subject_5993,36.0,2018-03-05,Sample extremely viscous; was diluted with MACs buffer prior to filtering (no supernatant sample collected),QIAGEN RNeasy Micro,170220164.0,12.0,,,,,8.8,158.7,,,Yes,,,,,,,,
